db_id,query,question
medicine_enzyme_interaction,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2","For every medicine id, what are the names of the medicines that can interact with more than one enzyme?"
medicine_enzyme_interaction,"SELECT T1.id ,  T1.Name ,  T1.FDA_approved FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id ORDER BY count(*) DESC","What are the ids, names and FDA approval status of medicines in descending order of the number of enzymes that it can interact with."
medicine_enzyme_interaction,"SELECT T1.id ,  T1.Name ,  T1.FDA_approved FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id ORDER BY count(*) DESC","What are the ids, names, and FDA approval status for medicines ordered by descending number of possible enzyme interactions?"
medicine_enzyme_interaction,"SELECT T1.id ,  T1.name FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T1.id  =  T2.enzyme_id WHERE T2.interaction_type  =  'activitor' GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1",What is the id and name of the enzyme with most number of medicines that can interact as 'activator'?
medicine_enzyme_interaction,"SELECT T1.id ,  T1.name FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T1.id  =  T2.enzyme_id WHERE T2.interaction_type  =  'activitor' GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1",What is the id and name of the enzyme that can interact with the most medicines as an activator?
medicine_enzyme_interaction,SELECT T1.interaction_type FROM medicine_enzyme_interaction AS T1 JOIN medicine AS T2 ON T1.medicine_id  =  T2.id JOIN enzyme AS T3 ON T1.enzyme_id  =  T3.id WHERE T3.name  =  'ALA synthase' AND T2.name  =  'Aripiprazole',What is the interaction type of the enzyme named 'ALA synthase' and the medicine named 'Aripiprazole'?
medicine_enzyme_interaction,SELECT T1.interaction_type FROM medicine_enzyme_interaction AS T1 JOIN medicine AS T2 ON T1.medicine_id  =  T2.id JOIN enzyme AS T3 ON T1.enzyme_id  =  T3.id WHERE T3.name  =  'ALA synthase' AND T2.name  =  'Aripiprazole',What is the type of interaction for the enzyme named 'ALA synthase' and the medicine named 'Aripiprazole'?
medicine_enzyme_interaction,"SELECT interaction_type ,  count(*) FROM medicine_enzyme_interaction GROUP BY interaction_type ORDER BY count(*) DESC LIMIT 1",What is the most common interaction type between enzymes and medicine? And how many are there?
medicine_enzyme_interaction,"SELECT interaction_type ,  count(*) FROM medicine_enzyme_interaction GROUP BY interaction_type ORDER BY count(*) DESC LIMIT 1","What are the most common types of interactions between enzymes and medicine, and how many types are there?"
medicine_enzyme_interaction,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',How many medicines have the FDA approval status 'No' ?
medicine_enzyme_interaction,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',How many medicines were not approved by the FDA?
medicine_enzyme_interaction,SELECT count(*) FROM enzyme WHERE id NOT IN ( SELECT enzyme_id FROM medicine_enzyme_interaction );,How many enzymes do not have any interactions?
medicine_enzyme_interaction,SELECT count(*) FROM enzyme WHERE id NOT IN ( SELECT enzyme_id FROM medicine_enzyme_interaction );,What is the count of enzymes without any interactions?
medicine_enzyme_interaction,"SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",What is the id and trade name of the medicines can interact with at least 3 enzymes?
medicine_enzyme_interaction,"SELECT T1.id ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING COUNT(*)  >=  3",What are the ids and trade names of the medicine that can interact with at least 3 enzymes?
medicine_enzyme_interaction,"SELECT DISTINCT T1.name ,  T1.location ,  T1.product FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.enzyme_id  =  T1.id WHERE T2.interaction_type  =  'inhibitor'","What are the distinct name, location and products of the enzymes which has any 'inhibitor' interaction?"
medicine_enzyme_interaction,"SELECT DISTINCT T1.name ,  T1.location ,  T1.product FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.enzyme_id  =  T1.id WHERE T2.interaction_type  =  'inhibitor'","What are the different names, locations, and products of the enzymes that are capable inhibitor interactions?"
medicine_enzyme_interaction,"SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'inhibitor' INTERSECT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'activitor'",List the medicine name and trade name which can both interact as 'inhibitor' and 'activitor' with enzymes.
medicine_enzyme_interaction,"SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'inhibitor' INTERSECT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'activitor'",What are the medicine and trade names that can interact as an inhibitor and activitor with enzymes?
medicine_enzyme_interaction,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'",Show the medicine names and trade names that cannot interact with the enzyme with product 'Heme'.
medicine_enzyme_interaction,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'",What are the medicine and trade names that cannot interact with the enzyme with the product 'Heme'?
medicine_enzyme_interaction,SELECT count(DISTINCT FDA_approved) FROM medicine,How many distinct FDA approval statuses are there for the medicines?
medicine_enzyme_interaction,SELECT count(DISTINCT FDA_approved) FROM medicine,How many different FDA approval statuses exist for medicines?
medicine_enzyme_interaction,"SELECT name FROM enzyme WHERE name LIKE ""%ALA%""","Which enzyme names have the substring ""ALA""?"
medicine_enzyme_interaction,"SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",What are the names of enzymes that include the string 'ALA'?
medicine_enzyme_interaction,"SELECT trade_name ,  count(*) FROM medicine GROUP BY trade_name",find the number of medicines offered by each trade.
medicine_enzyme_interaction,"SELECT trade_name ,  count(*) FROM medicine GROUP BY trade_name",How many medicines are offered by each trade name?
university_basketball,"SELECT school ,  nickname FROM university ORDER BY founded",List all schools and their nicknames in the order of founded year.
university_basketball,"SELECT school ,  nickname FROM university ORDER BY founded","What are the different schools and their nicknames, ordered by their founding years?"
university_basketball,"SELECT school ,  LOCATION FROM university WHERE affiliation  =  'Public'",List all public schools and their locations.
university_basketball,"SELECT school ,  LOCATION FROM university WHERE affiliation  =  'Public'",What are the public schools and what are their locations?
university_basketball,SELECT founded FROM university ORDER BY enrollment DESC LIMIT 1,When was the school with the largest enrollment founded?
university_basketball,SELECT founded FROM university ORDER BY enrollment DESC LIMIT 1,Return the founded year for the school with the largest enrollment.
university_basketball,SELECT founded FROM university WHERE affiliation != 'Public' ORDER BY founded DESC LIMIT 1,Find the founded year of the newest non public school.
university_basketball,SELECT founded FROM university WHERE affiliation != 'Public' ORDER BY founded DESC LIMIT 1,What is the founded year of the non public school that was founded most recently?
university_basketball,SELECT count(DISTINCT school_id) FROM basketball_match,How many schools are in the basketball match?
university_basketball,SELECT count(DISTINCT school_id) FROM basketball_match,Count the number of schools that have had basketball matches.
university_basketball,SELECT acc_percent FROM basketball_match ORDER BY acc_percent DESC LIMIT 1,What is the highest acc percent score in the competition?
university_basketball,SELECT acc_percent FROM basketball_match ORDER BY acc_percent DESC LIMIT 1,Return the highest acc percent across all basketball matches.
university_basketball,SELECT t1.Primary_conference FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id ORDER BY t2.acc_percent LIMIT 1,What is the primary conference of the school that has the lowest acc percent score in the competition?
university_basketball,SELECT t1.Primary_conference FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id ORDER BY t2.acc_percent LIMIT 1,Return the primary conference of the school with the lowest acc percentage score.
university_basketball,"SELECT t2.team_name ,  t2.ACC_Regular_Season FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id ORDER BY t1.founded LIMIT 1",What is the team name and acc regular season score of the school that was founded for the longest time?
university_basketball,"SELECT t2.team_name ,  t2.ACC_Regular_Season FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id ORDER BY t1.founded LIMIT 1",Return the name of the team and the acc during the regular season for the school that was founded the earliest.
university_basketball,"SELECT t2.All_Games ,  t1.location FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE team_name  =  'Clemson'",Find the location and all games score of the school that has Clemson as its team name.
university_basketball,"SELECT t2.All_Games ,  t1.location FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE team_name  =  'Clemson'",What are the all games score and location of the school called Clemson?
university_basketball,SELECT avg(enrollment) FROM university WHERE founded  <  1850,What are the average enrollment size of the universities that are founded before 1850?
university_basketball,SELECT avg(enrollment) FROM university WHERE founded  <  1850,Return the average enrollment of universities founded before 1850.
university_basketball,"SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1",Show the enrollment and primary_conference of the oldest college.
university_basketball,"SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1",What are the enrollment and primary conference for the university which was founded the earliest?
university_basketball,"SELECT sum(enrollment) ,  min(enrollment) FROM university",What is the total and minimum enrollment of all schools?
university_basketball,"SELECT sum(enrollment) ,  min(enrollment) FROM university",Return the total and minimum enrollments across all schools.
university_basketball,"SELECT sum(enrollment) ,  affiliation FROM university GROUP BY affiliation",Find the total student enrollment for different affiliation type schools.
university_basketball,"SELECT sum(enrollment) ,  affiliation FROM university GROUP BY affiliation",What are the total enrollments of universities of each affiliation type?
university_basketball,SELECT count(*) FROM university WHERE school_id NOT IN (SELECT school_id FROM basketball_match),How many schools do not participate in the basketball match?
university_basketball,SELECT count(*) FROM university WHERE school_id NOT IN (SELECT school_id FROM basketball_match),Count the number of universities that do not participate in the baketball match.
university_basketball,SELECT school FROM university WHERE founded  >  1850 OR affiliation  =  'Public',Find the schools that were either founded after 1850 or public.
university_basketball,SELECT school FROM university WHERE founded  >  1850 OR affiliation  =  'Public',What are the schools that were either founded before 1850 or are public?
university_basketball,SELECT count(DISTINCT affiliation) FROM university,Find how many different affiliation types there are.
university_basketball,SELECT count(DISTINCT affiliation) FROM university,Count the number of different affiliation types.
university_basketball,"SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",Find how many school locations have the word 'NY'.
university_basketball,"SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",How many universities have a location that contains NY?
university_basketball,SELECT t2.team_name FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE enrollment  <  (SELECT avg(enrollment) FROM university),Find the team names of the universities whose enrollments are smaller than the average enrollment size.
university_basketball,SELECT t2.team_name FROM university AS t1 JOIN basketball_match AS t2 ON t1.school_id  =  t2.school_id WHERE enrollment  <  (SELECT avg(enrollment) FROM university),What are the names of teams from universities that have a below average enrollment?
university_basketball,"SELECT count(*) ,  affiliation FROM university WHERE enrollment  >  20000 GROUP BY affiliation",Find the number of universities that have over a 20000 enrollment size for each affiliation type.
university_basketball,"SELECT count(*) ,  affiliation FROM university WHERE enrollment  >  20000 GROUP BY affiliation","What are the different affiliations, and how many schools with each have an enrollment size of above 20000?"
university_basketball,"SELECT sum(Enrollment) ,  affiliation FROM university WHERE founded  >  1850 GROUP BY affiliation",Find the total number of students enrolled in the colleges that were founded after the year of 1850 for each affiliation type.
university_basketball,"SELECT sum(Enrollment) ,  affiliation FROM university WHERE founded  >  1850 GROUP BY affiliation","What are the different affiliations, and what is the total enrollment of schools founded after 1850 for each enrollment type?"
university_basketball,SELECT max(Enrollment) FROM university,What is the maximum enrollment across all schools?
university_basketball,SELECT max(Enrollment) FROM university,Return the maximum enrollment across all schools.
university_basketball,SELECT * FROM basketball_match,List all information regarding the basketball match.
university_basketball,SELECT * FROM basketball_match,What is all the information about the basketball match?
university_basketball,SELECT team_name FROM basketball_match ORDER BY All_Home DESC,"List names of all teams in the basketball competition, ordered by all home scores in descending order."
university_basketball,SELECT team_name FROM basketball_match ORDER BY All_Home DESC,"What are the names of all the teams in the basketball competition, sorted by all home scores in descending order?"
phone_1,SELECT Model_name FROM chip_model WHERE Launch_year BETWEEN 2002 AND 2004;,the names of models that launched between 2002 and 2004.
phone_1,"SELECT Model_name ,  RAM_MiB FROM chip_model ORDER BY RAM_MiB ASC LIMIT 1;",Which model has the least amount of RAM? List the model name and the amount of RAM.
phone_1,"SELECT chip_model ,  screen_mode FROM phone WHERE Hardware_Model_name = ""LG-P760"";","What are the chip model and screen mode of the phone with hardware model name ""LG-P760""?"
phone_1,"SELECT count(*) FROM phone WHERE Company_name = ""Nokia Corporation"";","How many phone hardware models are produced by the company named ""Nokia Corporation""?"
phone_1,"SELECT max(T1.RAM_MiB) ,  min(T1.RAM_MiB) FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name  =  T2.chip_model WHERE T2.Company_name = ""Nokia Corporation"";","What is maximum and minimum RAM size of phone produced by company named ""Nokia Corporation""?"
phone_1,"SELECT avg(T1.ROM_MiB) FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name  =  T2.chip_model WHERE T2.Company_name = ""Nokia Corporation"";","What is the average ROM size of phones produced by the company named ""Nokia Corporation""?"
phone_1,"SELECT T2.Hardware_Model_name ,  T2.Company_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name  =  T2.chip_model WHERE T1.Launch_year = 2002 OR T1.RAM_MiB  >  32;",List the hardware model name and company name for all the phones that were launched in year 2002 or have RAM size greater than 32.
phone_1,"SELECT Hardware_Model_name ,  Company_name FROM phone WHERE Accreditation_type LIKE 'Full';",Find all phones that have word 'Full' in their accreditation types. List the Hardware Model name and Company name.
phone_1,"SELECT T1.Char_cells ,  T1.Pixels ,  T1.Hardware_colours FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T2.Hardware_Model_name = ""LG-P760"";","Find the Char cells, Pixels and Hardware colours for the screen of the phone whose hardware model name is ""LG-P760""."
phone_1,"SELECT T2.Hardware_Model_name ,  T2.Company_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T1.Type  =  ""Graphics"";","List the hardware model name and company name for the phone whose screen mode type is ""Graphics."""
phone_1,"SELECT Company_name ,  count(*) FROM phone GROUP BY Company_name ORDER BY count(*) ASC LIMIT 1;",Find the name of the company that has the least number of phone models. List the company name and the number of phone model produced by that company.
phone_1,SELECT Company_name FROM phone GROUP BY Company_name HAVING count(*)  >  1;,List the name of the company that produced more than one phone model.
phone_1,"SELECT max(used_kb) , min(used_kb) , avg(used_kb) FROM screen_mode;","List the maximum, minimum and average number of used kb in screen mode."
phone_1,SELECT T2.Hardware_Model_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name  =  T2.chip_model WHERE T1.Launch_year = 2002 ORDER BY T1.RAM_MiB DESC LIMIT 1;,List the name of the phone model launched in year 2002 and with the highest RAM size.
phone_1,"SELECT T1.WiFi , T3.Type FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name  =  T2.chip_model JOIN screen_mode AS T3 ON T2.screen_mode = T3.Graphics_mode WHERE T2.Hardware_Model_name = ""LG-P760"";","What are the wifi and screen mode type of the hardware model named ""LG-P760""?"
phone_1,"SELECT T2.Hardware_Model_name FROM chip_model AS T1 JOIN phone AS T2 ON T1.Model_name  =  T2.chip_model JOIN screen_mode AS T3 ON T2.screen_mode = T3.Graphics_mode WHERE T3.Type = ""Text"" OR T1.RAM_MiB  >  32;","List the hardware model name for the phones that have screen mode type ""Text"" or RAM size greater than 32."
phone_1,"SELECT DISTINCT T2.Hardware_Model_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T1.Type  =  ""Graphics"" OR t2.Company_name  =  ""Nokia Corporation""","List the hardware model name for the phones that were produced by ""Nokia Corporation"" or whose screen mode type is ""Graphics."""
phone_1,"SELECT DISTINCT T2.Hardware_Model_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE t2.Company_name  =  ""Nokia Corporation"" AND T1.Type != ""Text"";","List the hardware model name for the phons that were produced by ""Nokia Corporation"" but whose screen mode type is not Text."
phone_1,"SELECT DISTINCT T2.Hardware_Model_name , T2.Company_name FROM screen_mode AS T1 JOIN phone AS T2 ON T1.Graphics_mode = T2.screen_mode WHERE T1.used_kb BETWEEN 10 AND 15;",List the phone hardware model and company name for the phones whose screen usage in kb is between 10 and 15.
phone_1,"SELECT Accreditation_type ,  count(*) FROM phone GROUP BY Accreditation_type",Find the number of phones for each accreditation type.
phone_1,"SELECT Accreditation_type ,  count(*) FROM phone GROUP BY Accreditation_type",How many phones belongs to each accreditation type?
phone_1,SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING count(*)  >  3,Find the accreditation level that more than 3 phones use.
phone_1,SELECT * FROM chip_model,Find the details for all chip models.
phone_1,SELECT count(*) FROM chip_model WHERE wifi  =  'No',How many models do not have the wifi function?
phone_1,SELECT count(*) FROM chip_model WHERE wifi  =  'No',Count the number of chip model that do not have wifi.
phone_1,SELECT model_name FROM chip_model ORDER BY launch_year,List all the model names sorted by their launch year.
phone_1,SELECT avg(RAM_MiB) FROM chip_model WHERE model_name NOT IN (SELECT chip_model FROM phone),Find the average ram mib size of the chip models that are never used by any phone.
phone_1,SELECT model_name FROM chip_model EXCEPT SELECT chip_model FROM phone WHERE Accreditation_type  =  'Full',Find the names of the chip models that are not used by any phone with full accreditation type.
phone_1,SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Provisional' INTERSECT SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Full',Find the pixels of the screen modes that are used by both phones with full accreditation types and phones with Provisional accreditation types.
match_season,SELECT count(*) FROM country,How many countries are there in total?
match_season,SELECT count(*) FROM country,Count the number of countries.
match_season,"SELECT Country_name ,  Capital FROM country",Show the country name and capital of all countries.
match_season,"SELECT Country_name ,  Capital FROM country",What are the names and capitals of each country?
match_season,"SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%""","Show all official native languages that contain the word ""English""."
match_season,"SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%""","What are the official native languages that contain the string ""English""."
match_season,SELECT DISTINCT POSITION FROM match_season,Show all distinct positions of matches.
match_season,SELECT DISTINCT POSITION FROM match_season,What are the different positions for match season?
match_season,"SELECT Player FROM match_season WHERE College  =  ""UCLA""",Show the players from college UCLA.
match_season,"SELECT Player FROM match_season WHERE College  =  ""UCLA""",Who are the players from UCLA?
match_season,"SELECT DISTINCT POSITION FROM match_season WHERE College  =  ""UCLA"" OR College  =  ""Duke""",Show the distinct position of players from college UCLA or Duke.
match_season,"SELECT DISTINCT POSITION FROM match_season WHERE College  =  ""UCLA"" OR College  =  ""Duke""",What are the different positions of players from UCLA or Duke colleges?
match_season,"SELECT Draft_Pick_Number ,  Draft_Class FROM match_season WHERE POSITION  =  ""Defender""",Show the draft pick numbers and draft classes of players whose positions are defenders.
match_season,"SELECT Draft_Pick_Number ,  Draft_Class FROM match_season WHERE POSITION  =  ""Defender""",What are the draft pick numbers and draft classes for players who play the Defender position?
match_season,SELECT count(DISTINCT Team) FROM match_season,How many distinct teams are involved in match seasons?
match_season,SELECT count(DISTINCT Team) FROM match_season,Count the number of different teams involved in match season.
match_season,"SELECT Player ,  Years_Played FROM player",Show the players and the years played.
match_season,"SELECT Player ,  Years_Played FROM player",Who are the different players and how many years has each played?
match_season,SELECT Name FROM Team,Show all team names.
match_season,SELECT Name FROM Team,What are the names of all teams?
match_season,"SELECT T2.Season ,  T2.Player ,  T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country","Show the season, the player, and the name of the country that player belongs to."
match_season,"SELECT T2.Season ,  T2.Player ,  T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country","For each player, what are their name, season, and country that they belong to?"
match_season,"SELECT T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T1.Country_name  =  ""Indonesia""",Which players are from Indonesia?
match_season,"SELECT T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T1.Country_name  =  ""Indonesia""",Who are the players from Indonesia?
match_season,"SELECT DISTINCT T2.Position FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T1.Capital  =  ""Dublin""",What are the distinct positions of the players from a country whose capital is Dublin?
match_season,"SELECT DISTINCT T2.Position FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T1.Capital  =  ""Dublin""",Give the different positions of players who play for the country with the capital Dublin.
match_season,"SELECT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.College  =  ""Maryland"" OR T2.College  =  ""Duke""",What are the official languages of the countries of players from Maryland or Duke college?
match_season,"SELECT T1.Official_native_language FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.College  =  ""Maryland"" OR T2.College  =  ""Duke""",Return the official native languages of countries who have players from Maryland or Duke colleges.
match_season,"SELECT count(DISTINCT T1.Official_native_language) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  ""Defender""",How many distinct official languages are there among countries of players whose positions are defenders.
match_season,"SELECT count(DISTINCT T1.Official_native_language) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  ""Defender""",Count the number of different official languages corresponding to countries that players who play Defender are from.
match_season,"SELECT T1.Season ,  T1.Player ,  T2.Name FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id","Show the season, the player, and the name of the team that players belong to."
match_season,"SELECT T1.Season ,  T1.Player ,  T2.Name FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id","Who are the different players, what season do they play in, and what is the name of the team they are on?"
match_season,"SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Ryley Goldner""","Show the positions of the players from the team with name ""Ryley Goldner""."
match_season,"SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Ryley Goldner""",Return the positions of players on the team Ryley Goldner.
match_season,"SELECT count(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew""","How many distinct colleges are associated with players from the team with name ""Columbus Crew""."
match_season,"SELECT count(DISTINCT T1.College) FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew""",Count the number of different colleges that players who play for Columbus Crew are from.
match_season,"SELECT T1.Player , T1.Years_Played FROM player AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew""","Show the players and years played for players from team ""Columbus Crew""."
match_season,"SELECT T1.Player , T1.Years_Played FROM player AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Columbus Crew""","What are the players who played for Columbus Crew, and how many years did each play for?"
match_season,"SELECT POSITION ,  COUNT(*) FROM match_season GROUP BY POSITION",Show the position of players and the corresponding number of players.
match_season,"SELECT POSITION ,  COUNT(*) FROM match_season GROUP BY POSITION",How many players played each position?
match_season,"SELECT Country_name ,  COUNT(*) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country GROUP BY T1.Country_name",Show the country names and the corresponding number of players.
match_season,"SELECT Country_name ,  COUNT(*) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country GROUP BY T1.Country_name",How many players are from each country?
match_season,SELECT player FROM match_season ORDER BY College ASC,Return all players sorted by college in ascending alphabetical order.
match_season,SELECT player FROM match_season ORDER BY College ASC,"What are all the players who played in match season, sorted by college in ascending alphabetical order?"
match_season,SELECT POSITION FROM match_season GROUP BY POSITION ORDER BY count(*) DESC LIMIT 1,Show the most common position of players in match seasons.
match_season,SELECT POSITION FROM match_season GROUP BY POSITION ORDER BY count(*) DESC LIMIT 1,What is the position that is most common among players in match seasons?
match_season,SELECT College FROM match_season GROUP BY College ORDER BY count(*) DESC LIMIT 3,Show the top 3 most common colleges of players in match seasons.
match_season,SELECT College FROM match_season GROUP BY College ORDER BY count(*) DESC LIMIT 3,What are the three colleges from which the most players are from?
match_season,SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2,Show the name of colleges that have at least two players.
match_season,SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2,What are the names of all colleges that have two or more players?
match_season,SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2 ORDER BY College DESC,Show the name of colleges that have at least two players in descending alphabetical order.
match_season,SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2 ORDER BY College DESC,"What are the names of colleges that have two or more players, listed in descending alphabetical order?"
match_season,SELECT Name FROM team WHERE Team_id NOT IN (SELECT Team FROM match_season),What are the names of teams that do no have match season record?
match_season,SELECT Name FROM team WHERE Team_id NOT IN (SELECT Team FROM match_season),Return the names of teams that have no match season record.
match_season,"SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  ""Forward"" INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  ""Defender""",What are the names of countries that have both players with position forward and players with position defender?
match_season,"SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  ""Forward"" INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  ""Defender""","Return the names of countries that have players that play the Forward position, as well as players who play the Defender position."
match_season,"SELECT College FROM match_season WHERE POSITION  =  ""Midfielder"" INTERSECT SELECT College FROM match_season WHERE POSITION  =  ""Defender""",Which college have both players with position midfielder and players with position defender?
match_season,"SELECT College FROM match_season WHERE POSITION  =  ""Midfielder"" INTERSECT SELECT College FROM match_season WHERE POSITION  =  ""Defender""","Return the colleges that have players who play the Midfielder position, as well as players who play the Defender position."
climbing,SELECT count(*) FROM climber,How many climbers are there?
climbing,SELECT count(*) FROM climber,Count the number of climbers.
climbing,SELECT Name FROM climber ORDER BY Points DESC,List the names of climbers in descending order of points.
climbing,SELECT Name FROM climber ORDER BY Points DESC,"What are the names of the climbers, ordered by points descending?"
climbing,"SELECT Name FROM climber WHERE Country != ""Switzerland""",List the names of climbers whose country is not Switzerland.
climbing,"SELECT Name FROM climber WHERE Country != ""Switzerland""",What are the names of climbers who are not from the country of Switzerland?
